source_query,n_videos
Municipalidad de Guatemala,20
Gobierno de Guatemala,18
@GobiernodelaRepublicadeGuatema,18
@GobiernodeGuatemala,17
guatemala noticias,16
Ministerio de Comunicaciones Guatemala,16
@MunicipalidaddeGuatemala-1551,16
Gobierno de la República de Guatemala,15
PMT Guatemala,15
Conred Guatemala,15
Provial Guatemala,13
guatemala trafico,13
guatemala transporte,13
Policia Nacional Civil Guatemala,13
guatemala lluvias,12
guatemala politica,12
guatemala seguridad,12
Ministerio de Gobernacion Guatemala,12
@quorumgt,12
@quorumgt/videos,11
Quorum GT,4
